number,E,n,K,YS,Pmax,Stiffness2,Slope1,Slope2,Slope3,Slope4,Slope5,30um,60um,90um,120um,150um
1873,136,0.187,764,542,0.0215587,84167.05882,4848.385741,4701.736265,4039.430389,3290.685235,2884.717923,132.1011639,277.1786564,409.0487759,518.6800871,609.9176685
1874,211,0.085,465,513,0.0342052,137200,4570.111231,4029.44254,3165.016264,2437.925033,2309.261478,132.4190736,262.7981399,370.9480501,454.0724661,523.2078287
1875,109,0.474,694,216,0.0135458,63997.64706,2210.861486,2238.776579,2044.530252,1805.619674,1699.542014,59.72472243,127.2465684,191.829703,249.4717411,301.4952128
1876,123,0.184,518,554,0.0244497,78301.17647,4246.195378,4048.649266,3410.312953,2722.08824,2374.876928,116.6612578,242.6745302,355.1723118,446.7944234,521.9077401
1877,219,0.207,1563,405,0.0170054,136614.1176,6404.020566,6327.922364,5583.170015,4669.874479,4088.146714,173.6204203,366.8963383,546.6092206,700.2011073,830.1173669
1878,140,0.166,1364,584,0.0165378,85187.64706,6562.895668,6614.466352,5907.169442,4968.050436,4324.154835,173.6650076,373.8814138,562.9443129,725.9933594,863.9795732
1879,173,0.258,979,171,0.0150081,107049.4118,3401.964243,3375.016693,3003.527842,2563.065678,2329.198192,92.51955315,195.3800804,291.5751417,374.9020179,447.4250293
1880,141,0.48,315,516,0.0280389,90345.88235,3197.291566,2942.945334,2440.726394,1951.233207,1735.064234,91.11527005,184.1642534,265.213263,330.7350945,385.0204975
1881,117,0.014,462,211,0.0356139,77258.06452,3282.546533,2913.682351,2279.120674,1713.445267,1551.239892,93.94902581,187.9749325,266.1129919,325.4110357,372.9544084
1882,109,0.321,1485,416,0.0103201,65141.17647,4784.684453,5008.761484,4675.520572,4137.964304,3749.095263,124.2988197,273.0350568,419.2513293,551.5231376,669.0160598
1883,172,0.147,959,522,0.0228149,108701.1765,5695.850775,5459.86974,4640.129968,3762.820377,3354.129885,156.1635431,325.6164838,477.9181401,603.4485837,708.3735538
1884,203,0.352,1260,291,0.0132532,119312.9412,4081.102145,4109.216374,3721.189643,3261.423818,3074.320765,110.0804671,234.4060997,352.47204,456.9600874,550.8840969
1885,134,0.174,555,454,0.0249846,84741.17647,3991.587865,3773.526775,3174.713562,2515.666202,2116.902669,110.9651704,228.7944178,333.5692556,418.6748899,487.1120659
1886,219,0.182,1295,222,0.0183879,136209.4118,5120.455949,4984.998235,4349.936134,3602.351716,3129.327049,140.6744262,293.9891025,434.7782764,553.8600474,653.6649768
1887,232,0.168,514,392,0.0299509,150512.334,3809.884543,3439.804681,2799.161509,2171.271738,1839.452082,110.6208586,220.3967511,314.3035063,388.4739756,447.5405116
1888,170,0.141,995,271,0.0218477,107308.2353,4732.149135,4533.754796,3868.306685,3146.698086,2779.822281,130.3777623,271.0475722,397.7325123,502.5843685,590.0817254
1889,204,0.054,703,579,0.0322319,131952.9412,5921.233938,5351.006434,4293.071242,3312.841644,2975.73092,167.9677263,338.9773677,484.1510355,597.3386982,689.3527229
1890,110,0.415,1316,467,0.011016,65155.29412,4307.224615,4493.098238,4190.806075,3713.030365,3372.45335,112.9954629,246.6115729,377.6996993,496.3051019,601.8535081
1891,110,0.261,692,203,0.0163473,68378.82353,2764.454153,2731.480482,2422.037227,2046.901913,1816.852064,75.22933713,158.6230025,236.3534702,303.2883156,360.6184397
1892,147,0.178,771,504,0.022417,92687.05882,4809.145683,4621.337153,3943.260867,3205.023655,2836.732345,131.9382197,275.1587652,404.3157713,511.1528079,600.3166496
1893,68,0.383,1563,588,0.00752001,39421.17647,4629.100746,5067.187967,4895.863547,4487.00438,4212.487361,115.7215054,263.1542113,413.658667,554.5306767,684.2223513
1894,149,0.188,1563,349,0.014583,89757.05882,5983.237561,6051.75068,5441.431043,4639.857291,4134.608066,158.6166162,341.447995,514.9333295,666.0213164,796.2880121
1895,165,0.481,422,521,0.0263153,104891.7647,3418.501852,3185.241027,2680.604484,2150.329515,1840.153412,97.3114044,197.3531585,285.7121089,357.9330433,416.9328684
1896,84,0.242,676,338,0.0165576,51524.70588,3275.221533,3279.4387,2899.073827,2449.14737,2244.679789,87.24277178,186.917906,280.1632734,360.1667197,429.5667043
1897,134,0.136,816,164,0.0213603,84432.94118,3630.838234,3478.618844,2975.472895,2435.672935,2173.491516,100.0758859,207.9878992,305.283751,386.1497328,454.2003126
1898,171,0.274,411,333,0.0264453,108703.5294,2843.743663,2620.690887,2177.593131,1747.144164,1562.037755,81.42942664,164.2369246,236.4704301,295.0190003,343.7525054
1899,198,0.284,1550,420,0.0141582,119164.7059,5674.736488,5711.339226,5144.241763,4436.215771,4050.03292,152.3337379,325.2125887,488.9770894,632.4578092,758.3684672
1900,182,0.026,890,199,0.0330833,118280,5136.423243,4612.444919,3655.522376,2834.09485,2716.601575,145.7424122,293.7683442,418.159665,514.4546368,595.2446984
1901,239,0.359,1092,535,0.0186773,142465.8824,5016.533354,4902.061974,4318.454797,3604.589491,3099.343726,138.892483,289.2678495,428.3248435,547.0725561,646.6864085
1902,212,0.171,893,580,0.0246876,134091.7647,5755.667966,5440.079953,4571.620748,3620.333685,3056.2621,160.5201337,330.4260846,481.396219,603.8950509,702.4883949
1903,85,0.102,525,254,0.0238778,53912.94118,3122.622973,2988.28494,2523.740317,2025.606905,1790.502505,85.33152777,178.1914352,261.3265583,329.2799664,385.4932629
1904,173,0.453,819,161,0.0120424,104072.9412,2225.745346,2267.414352,2096.971917,1863.941835,1717.847902,60.26560275,128.3801816,194.1893494,253.5726201,306.895221
1905,240,0.347,1399,444,0.0152158,147950.5882,5192.195072,5170.697347,4636.075908,3991.615833,3640.602205,141.2953703,298.5256722,446.405974,575.5918403,688.8373885
1906,189,0.494,1323,478,0.0138622,111952.9412,4421.071373,4476.893649,4086.7167,3595.518951,3348.278825,119.1724765,254.1881729,383.3261032,498.380967,601.4968166
1907,96,0.431,1052,484,0.0122816,57588.23529,3898.863266,4039.290182,3733.583901,3276.439719,2962.552933,102.6023256,223.1583295,340.4984046,445.6589845,538.5173616
1908,209,0.3,920,171,0.0148224,128597.6471,3084.417115,3059.15658,2737.1672,2347.371163,2118.690656,84.58070882,177.7622891,265.1628152,341.3142546,407.6162404
1909,184,0.028,745,195,0.0347407,119734.1176,4498.844537,3979.005472,3122.284733,2373.7328,2178.400151,129.4765578,258.0428252,364.8480694,446.4615973,512.8042302
1910,180,0.255,552,275,0.0230853,113698.8235,2957.058297,2778.56367,2352.715609,1905.39059,1662.465088,83.69241298,170.6274717,247.9326989,311.5756387,364.3001295
1911,66,0.207,1138,278,0.0104125,38977.05882,3877.382716,4100.056903,3840.671162,3385.122857,3019.309351,99.35248534,220.5766011,340.5353002,449.0552452,544.5400195
1912,139,0.013,1629,283,0.0232384,86677.64706,7937.603615,7849.919123,6782.993681,5444.460977,4541.954698,210.3125776,450.4580632,671.5153155,854.7216113,1002.543238
1913,169,0.044,1495,547,0.0233421,106014.1176,8385.030387,8185.468719,6986.599501,5606.458351,4863.080889,224.1288504,476.2071504,705.263898,893.5904011,1048.019036
